date,location,latitude,longitude,site_type,zone,pollutant_type,value,unit,status
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.2,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.2,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.2,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.3,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.3,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.3,ugm-3,N
2025-01-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.3,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,3.6,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,3.6,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,3.8,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,3.9,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,4.2,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,4.5,ugm-3,N
2025-01-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,4.9,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.4,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.4,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.6,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.7,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,3.0,ugm-3,N
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,3.3,ugm-3,N
